Country;ISO;2020;2020 Ranking;2025;2025 Ranking;Region;Pattern
Afghanistan;AFG;62.30;122;17.88;175;Asia-Pacific;Lower
Albania;ALB;69.75;84;58.18;80;EU & Balkans;Lower
Algeria;DZA;54.48;146;44.64;126;MENA;Lower
Andorra;AND;76.77;37;63.30;65;EU & Balkans;Lower
Angola;AGO;66.08;106;52.67;100;Africa;Lower
Argentina;ARG;71.22;64;56.14;87;Americas;Lower
Armenia;ARM;71.40;61;73.96;34;EECA;Higher
Australia;AUS;79.79;26;75.15;29;Asia-Pacific;Lower
Austria;AUT;84.22;18;78.12;22;EU & Balkans;Lower
Azerbaijan;AZE;41.52;168;25.47;167;EECA;Lower
Bahrain;BHR;39.87;169;30.24;157;MENA;Lower
Bangladesh;BGD;50.63;151;33.71;149;Asia-Pacific;Lower
Belarus;BLR;50.25;153;25.73;166;EECA;Lower
Belgium;BEL;87.43;12;80.12;18;EU & Balkans;Lower
Belize;BLZ;72.50;53;68.32;47;Americas;Lower
Benin;BEN;64.89;113;54.60;92;Africa;Lower
Bhutan;BTN;71.10;67;32.62;152;Asia-Pacific;Lower
Bolivia;BOL;64.63;114;54.09;93;Americas;Lower
Bosnia and Herzegovina;BIH;71.49;58;56.33;86;EU & Balkans;Lower
Botswana;BWA;76.44;39;57.64;81;Africa;Lower
Brazil;BRA;65.95;107;63.80;63;Americas;Lower
Brunei;BRN;50.35;152;53.47;97;Asia-Pacific;Higher
Bulgaria;BGR;64.94;111;60.78;70;EU & Balkans;Lower
Burkina Faso;BFA;76.53;38;52.25;105;Africa;Lower
Burundi;BDI;44.67;160;45.44;125;Africa;Higher
Cambodia;KHM;54.54;144;28.18;161;Asia-Pacific;Lower
Cameroon;CMR;56.72;134;42.75;131;Africa;Lower
Canada;CAN;84.71;16;78.75;21;Americas;Lower
Cape Verde;CPV;79.85;25;74.98;30;Africa;Lower
Central African Republic;CAF;57.13;132;60.15;72;Africa;Higher
Chad;TCD;60.30;123;51.89;108;Africa;Lower
Chile;CHL;72.69;51;62.25;69;Americas;Lower
China;CHN;21.52;177;14.80;178;Asia-Pacific;Lower
Colombia;COL;57.34;130;49.80;115;Americas;Lower
Comoros;COM;70.23;75;59.27;75;Africa;Lower
Congo;COG;63.44;118;60.58;71;Africa;Lower
Costa Rica;CRI;89.47;7;73.09;36;Americas;Lower
Croatia;HRV;71.49;59;64.20;60;EU & Balkans;Lower
Cuba;CUB;36.19;171;26.03;165;Americas;Lower
Cyprus;CYP;79.55;27;59.04;77;EU & Balkans;Lower
Cyprus North;CTU;70.21;77;54.84;91;EU & Balkans;Lower
Czechia;CZE;76.43;40;83.96;10;EU & Balkans;Higher
DR Congo;COD;50.91;150;42.31;133;Africa;Lower
Denmark;DNK;91.87;3;86.93;6;EU & Balkans;Lower
Djibouti;DJI;23.27;176;25.36;168;Africa;Higher
Dominican Republic;DOM;72.10;55;69.87;43;Americas;Lower
East Timor;TLS;70.10;78;71.79;39;Asia-Pacific;Higher
Ecuador;ECU;67.38;98;53.76;94;Americas;Lower
Egypt;EGY;43.18;166;24.74;170;MENA;Lower
El Salvador;SLV;70.30;74;41.19;135;Americas;Lower
Equatorial Guinea;GNQ;43.62;165;48.68;118;Africa;Higher
Eritrea;ERI;16.50;178;11.32;180;Africa;Lower
Estonia;EST;87.39;14;89.46;2;EU & Balkans;Higher
Eswatini;SWZ;54.85;141;52.86;98;Africa;Lower
Ethiopia;ETH;67.18;99;36.92;145;Africa;Lower
Fiji;FJI;72.59;52;71.20;40;Asia-Pacific;Lower
Finland;FIN;92.07;2;87.18;5;EU & Balkans;Lower
France;FRA;77.08;34;76.62;25;EU & Balkans;Lower
Gabon;GAB;62.80;121;70.65;41;Africa;Higher
Gambia;GMB;69.38;87;65.49;58;Africa;Lower
Georgia;GEO;71.41;60;50.53;114;EECA;Lower
Germany;DEU;87.84;11;83.85;11;EU & Balkans;Lower
Ghana;GHA;77.74;30;67.13;52;Africa;Lower
Greece;GRC;71.20;65;55.37;89;EU & Balkans;Lower
Guatemala;GTM;64.26;116;40.32;138;Americas;Lower
Guinea;GIN;65.66;110;52.53;103;Africa;Lower
Guinea-Bissau;GNB;67.94;94;51.36;110;Africa;Lower
Guyana;GUY;73.37;49;60.12;73;Americas;Lower
Haiti;HTI;69.80;83;51.06;111;Americas;Lower
Honduras;HND;51.80;148;38.51;142;Americas;Lower
Hong Kong;HKG;69.99;80;39.86;140;Asia-Pacific;Lower
Hungary;HUN;69.16;89;62.82;68;EU & Balkans;Lower
Iceland;ISL;84.88;15;81.36;17;EU & Balkans;Lower
India;IND;54.67;142;32.96;151;Asia-Pacific;Lower
Indonesia;IDN;63.18;119;44.13;127;Asia-Pacific;Lower
Iran;IRN;35.19;173;16.22;176;MENA;Lower
Iraq;IRQ;44.63;162;30.69;155;MENA;Lower
Ireland;IRL;87.40;13;86.92;7;EU & Balkans;Lower
Israel;ISR;69.16;88;51.06;112;MENA;Lower
Italy;ITA;76.31;41;68.01;49;EU & Balkans;Lower
Ivory Coast;CIV;71.06;68;63.69;64;Africa;Lower
Jamaica;JAM;89.49;6;75.83;26;Americas;Lower
Japan;JPN;71.14;66;63.14;66;Asia-Pacific;Lower
Jordan;JOR;57.92;128;35.25;147;MENA;Lower
Kazakhstan;KAZ;45.89;157;39.34;141;EECA;Lower
Kenya;KEN;66.28;103;49.41;117;Africa;Lower
Kosovo;XKX;70.67;70;52.73;99;EU & Balkans;Lower
Kuwait;KWT;65.70;109;44.06;128;MENA;Lower
Kyrgyzstan;KGZ;69.81;82;37.46;144;EECA;Lower
Laos;LAO;35.72;172;33.22;150;Asia-Pacific;Lower
Latvia;LVA;81.44;22;81.82;15;EU & Balkans;Higher
Lebanon;LBN;66.81;102;42.62;132;MENA;Lower
Lesotho;LSO;69.55;86;52.07;107;Africa;Lower
Liberia;LBR;67.75;95;66.61;54;Africa;Lower
Libya;LBY;44.23;164;40.42;137;MENA;Lower
Liechtenstein;LIE;80.48;24;83.42;12;EU & Balkans;Higher
Lithuania;LTU;78.81;28;82.27;14;EU & Balkans;Higher
Luxembourg;LUX;84.54;17;83.04;13;EU & Balkans;Lower
Madagascar;MDG;72.32;54;50.80;113;Africa;Lower
Malawi;MWI;70.68;69;59.20;76;Africa;Lower
Malaysia;MYS;66.88;101;56.09;88;Asia-Pacific;Lower
Maldives;MDV;70.07;79;52.46;104;Asia-Pacific;Lower
Mali;MLI;65.88;108;48.23;119;Africa;Lower
Malta;MLT;69.84;81;62.96;67;EU & Balkans;Lower
Mauritania;MRT;67.46;97;67.52;50;Africa;Higher
Mauritius;MUS;72.00;56;67.31;51;Africa;Lower
Mexico;MEX;54.55;143;45.55;124;Americas;Lower
Moldova;MDA;68.84;91;73.36;35;EECA;Higher
Mongolia;MNG;70.39;73;52.57;102;Asia-Pacific;Lower
Montenegro;MNE;66.17;105;72.83;37;EU & Balkans;Higher
Morocco;MAR;57.12;133;48.04;120;MENA;Lower
Mozambique;MOZ;66.21;104;52.63;101;Africa;Lower
Myanmar;MMR;55.23;139;25.32;169;Asia-Pacific;Lower
Namibia;NAM;80.75;23;75.35;28;Africa;Lower
Nepal;NPL;64.90;112;55.20;90;Asia-Pacific;Lower
Netherlands;NLD;90.04;5;88.64;3;EU & Balkans;Lower
New Zealand;NZL;89.31;9;81.37;16;Asia-Pacific;Lower
Nicaragua;NIC;64.19;117;22.83;172;Americas;Lower
Niger;NER;71.75;57;57.05;83;Africa;Lower
Nigeria;NGA;64.37;115;46.81;122;Africa;Lower
